No.,Constituency,Name,Party,Alliance,Remarks,District
123,Bithari Chainpur,Raghavendra Sharma,Bharatiya Janata Party,NDA,,Bareilly 
124,Bareilly,Arun Kumar,Bharatiya Janata Party,NDA,MOS (I/C),Bareilly 
125,Bareilly Cantt,Sanjeev Agarwal,Bharatiya Janata Party,NDA,,Bareilly 
126,Aonla,Dharmpal Singh,Bharatiya Janata Party,NDA,Cabinet Minister,Bareilly 
127,Pilibhit,Sanjay Singh Gangwar,Bharatiya Janata Party,NDA,MOS,Pilibhit 
128,Barkhera,Swami Pravakta Nand,Bharatiya Janata Party,NDA,,Pilibhit 
129,Puranpur (SC),Babu Ram Paswan,Bharatiya Janata Party,NDA,,Pilibhit 
130,Bisalpur,Vivek Kumar Verma,Bharatiya Janata Party,NDA,,Pilibhit 
131,Katra,Veer Vikram Singh,Bharatiya Janata Party,NDA,,Shahjahanpur 
132,Jalalabad,Hari Prakash Verma,Bharatiya Janata Party,NDA,,Shahjahanpur 
133,Tilhar,Salona Kushwaha,Bharatiya Janata Party,NDA,,Shahjahanpur 
134,Powayan (SC),Chetram Pasi,Bharatiya Janata Party,NDA,,Shahjahanpur 
135,Shahjahanpur,Suresh Kumar Khanna,Bharatiya Janata Party,NDA,Cabinet Minister,Shahjahanpur 
136,Dadraul,Manvendra Singh,Bharatiya Janata Party,NDA,,Shahjahanpur 
137,Palia,Harvinder Kumar Sahani,Bharatiya Janata Party,NDA,,Lakhimpur Kheri 
138,Nighasan,Shashank Verma,Bharatiya Janata Party,NDA,,Lakhimpur Kheri 
139,Gola Gokarnnath,Arvind Giri,Bharatiya Janata Party,NDA,,Lakhimpur Kheri 
140,Sri Nagar (SC),Manju Tyagi,Bharatiya Janata Party,NDA,,Lakhimpur Kheri 
141,Dhaurahra,Vinod Shankar Awasthi,Bharatiya Janata Party,NDA,,Lakhimpur Kheri 
142,Lakhimpur,Yogesh Verma,Bharatiya Janata Party,NDA,,Lakhimpur Kheri 
143,Kasta (SC),Saurabh Singh,Bharatiya Janata Party,NDA,,Lakhimpur Kheri 
144,Mohammadi,Lokendra Pratap Singh,Bharatiya Janata Party,NDA,,Lakhimpur Kheri 
145,Maholi,Shashank Trivedi,Bharatiya Janata Party,NDA,,Sitapur 
146,Sitapur,Rakesh Rathore 'Guru',Bharatiya Janata Party,NDA,MOS,Sitapur 
147,Hargaon (SC),Suresh Rahi,Bharatiya Janata Party,NDA,MOS,Sitapur 
148,Laharpur,Anil Kumar Verma,Samajwadi Party,SP+,,Sitapur 
149,Biswan,Nirmal Verma,Bharatiya Janata Party,NDA,,Sitapur 
150,Sevata,Gyan Tiwari,Bharatiya Janata Party,NDA,,Sitapur 
151,Mahmoodabad,Asha Maurya,Bharatiya Janata Party,NDA,,Sitapur 
152,Sidhauli (SC),Manish Rawat,Bharatiya Janata Party,NDA,,Sitapur 
153,Misrikh (SC),Ram Krishna Bhargava,Bharatiya Janata Party,NDA,,Sitapur 
154,Sawayazpur,Kunvar Madhavendra Pratap Singh,Bharatiya Janata Party,NDA,,Hardoi 
155,Shahabad,Rajani Tiwari,Bharatiya Janata Party,NDA,MOS,Hardoi 
156,Hardoi,Nitin Agarwal,Bharatiya Janata Party,NDA,MOS (I/C),Hardoi 
157,Gopamau (SC),Shyam Prakash,Bharatiya Janata Party,NDA,,Hardoi 
158,Sandi (SC),Prabhash Kumar Verma,Bharatiya Janata Party,NDA,,Hardoi 
159,Bilgram-Mallanwan,Ashish Kumar Singh,Bharatiya Janata Party,NDA,,Hardoi 
160,Balamau (SC),Ram Pal Verma,Bharatiya Janata Party,NDA,,Hardoi 
161,Sandila,Alka Singh Arkvanshi,Bharatiya Janata Party,NDA,,Hardoi 
162,Bangarmau,Shrikant Katiyar,Bharatiya Janata Party,NDA,,Unnao 
163,Safipur (SC),Bamba Lal Diwakar,Bharatiya Janata Party,NDA,,Unnao 
164,Mohan (SC),Brijesh Kumar Rawat,Bharatiya Janata Party,NDA,,Unnao 
165,Unnao,Pankaj Gupta,Bharatiya Janata Party,NDA,,Unnao 
166,Bhagwantnagar,Ashutosh Shukla,Bharatiya Janata Party,NDA,,Unnao 
167,Purwa,Anil Singh,Bharatiya Janata Party,NDA,,Unnao 
168,Malihabad (SC),Jai Devi,Bharatiya Janata Party,NDA,,Lucknow 
169,Bakshi Kaa Talab,Yogesh Shukla,Bharatiya Janata Party,NDA,,Lucknow 
170,Sarojini Nagar,Rajeshwar Singh,Bharatiya Janata Party,NDA,,Lucknow 
